Added Component: Designator=HL?(GNL-3012ED)
Added Component: Designator=R?(ั1-4)
Added Pin To Net: NetName=NetC16_2 Pin=HL?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=NetHL?_2 Pin=HL?-2
Added Pin To Net: NetName=NetHL?_2 Pin=R?-2
Added Net: Name=NetHL?_2
Added Member To Class: ClassName=Sheet1 Member=Component HL? GNL-3012ED
Added Member To Class: ClassName=Sheet1 Member=Component R? 4.7๊ฮ์
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? สา
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Room: Name=Sheet1
