Change Component Designator: OldDesignator=R? NewDesignator=R19
Added Component: Designator=R20(ั1-4)
Added Component: Designator=X?(SMT_CONTACT_TYPE_1)
Added Pin To Net: NetName=NetC4_1 Pin=R20-1
Added Pin To Net: NetName=NetR20_2 Pin=R20-2
Added Pin To Net: NetName=NetR20_2 Pin=X?-1
Added Pin To Net: NetName=NetR20_2 Pin=X?-1
Added Net: Name=NetR20_2
Added Member To Class: ClassName=Sheet1 Member=Component R20 51๊
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? สา
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Member To Class: ClassName=Sheet1 Member=Component X? สา
Added Member To Class: ClassName=Sheet1 Member=Component X? SMT_Contact
Added Room: Name=Sheet1
